AU,ex
1.145510835913312736e-01,0.000000000000000000e+00
1.871345029239765978e-01,0.000000000000000000e+00
5.735080058224163446e-01,0.000000000000000000e+00
4.910179640718562860e-02,0.000000000000000000e+00
1.233443708609271577e-01,0.000000000000000000e+00
1.123595505617977627e-03,0.000000000000000000e+00
3.696224758560140433e-01,0.000000000000000000e+00
3.619909502262443762e-02,0.000000000000000000e+00
1.828890266584004831e-01,0.000000000000000000e+00
4.305084745762711718e-01,0.000000000000000000e+00
4.707379134860050635e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
7.576985413290113214e-02,0.000000000000000000e+00
6.824925816023738601e-02,0.000000000000000000e+00
7.777777777777777901e-01,0.000000000000000000e+00
7.957663661309290204e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.982928430728824742e-01,0.000000000000000000e+00
2.845888724766125200e-01,0.000000000000000000e+00
1.426684280052840093e-01,0.000000000000000000e+00
1.427971440571188660e-02,0.000000000000000000e+00
3.825330325491460015e-01,0.000000000000000000e+00
6.441223832528180336e-03,0.000000000000000000e+00
1.179441473559120629e-01,0.000000000000000000e+00
6.670372429127292661e-03,0.000000000000000000e+00
9.767025089605735344e-02,0.000000000000000000e+00
3.023255813953488191e-01,0.000000000000000000e+00
1.079545454545454558e-01,0.000000000000000000e+00
2.649656526005888038e-02,0.000000000000000000e+00
1.317647058823529470e-02,0.000000000000000000e+00
1.663893510815307730e-01,0.000000000000000000e+00
3.865143699336772154e-01,0.000000000000000000e+00
6.500000000000000222e-02,0.000000000000000000e+00
6.587473002159827118e-02,0.000000000000000000e+00
4.475703324808184003e-01,0.000000000000000000e+00
1.422155688622754599e-01,0.000000000000000000e+00
1.884057971014492794e-01,0.000000000000000000e+00
8.081632653061224247e-02,0.000000000000000000e+00
1.133297355639503561e-02,0.000000000000000000e+00
4.182389937106918421e-01,0.000000000000000000e+00
2.918287937743190702e-02,0.000000000000000000e+00
2.569750367107195288e-01,0.000000000000000000e+00
1.223581757508342555e-01,0.000000000000000000e+00
1.548545678000819437e-01,0.000000000000000000e+00
1.462346760070052654e-01,0.000000000000000000e+00
8.415369958717053289e-02,0.000000000000000000e+00
3.836633663366336711e-01,0.000000000000000000e+00
4.739613809245172421e-02,0.000000000000000000e+00
4.973118279569892219e-02,0.000000000000000000e+00
2.480158730158730229e-01,0.000000000000000000e+00
1.571338780641106103e-01,0.000000000000000000e+00
4.878048780487805047e-02,0.000000000000000000e+00
9.803921568627450844e-03,0.000000000000000000e+00
1.049868766404199460e-02,0.000000000000000000e+00
5.206349206349206726e-01,0.000000000000000000e+00
3.335043612108773425e-02,0.000000000000000000e+00
1.140065146579804546e-02,0.000000000000000000e+00
7.613005551149880368e-02,0.000000000000000000e+00
1.188118811881188133e-02,1.000000000000000000e+00
5.195911413969335479e-02,1.000000000000000000e+00
6.224899598393573985e-02,1.000000000000000000e+00
1.714285714285714371e-02,1.000000000000000000e+00
6.038647342995168837e-02,1.000000000000000000e+00
3.467492260061919573e-01,1.000000000000000000e+00
5.588235294117647328e-02,1.000000000000000000e+00
2.561983471074380167e-02,1.000000000000000000e+00
9.453781512605041737e-02,1.000000000000000000e+00
5.000000000000000278e-02,1.000000000000000000e+00
1.440677966101694962e-01,1.000000000000000000e+00
2.241835834068843791e-01,1.000000000000000000e+00
3.756476683937823996e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
4.958677685950413361e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
1.692307692307692263e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
4.269293924466338597e-02,1.000000000000000000e+00
8.620689655172413257e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
3.438556933483652989e-01,1.000000000000000000e+00
1.362862010221465026e-01,1.000000000000000000e+00
3.207547169811320598e-01,1.000000000000000000e+00
1.970443349753694603e-02,1.000000000000000000e+00
1.098654708520179352e-01,1.000000000000000000e+00
1.245247148288973343e-01,1.000000000000000000e+00
1.686390532544378706e-01,1.000000000000000000e+00
1.066666666666666735e-01,1.000000000000000000e+00
3.715415019762846049e-01,1.000000000000000000e+00
9.883720930232557655e-02,1.000000000000000000e+00
4.977728285077950843e-01,1.000000000000000000e+00
9.375000000000000000e-02,1.000000000000000000e+00
3.790322580645161255e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000444e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
5.303643724696356365e-01,1.000000000000000000e+00
9.722222222222222099e-01,1.000000000000000000e+00
8.777120315581854459e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
6.162162162162162504e-01,1.000000000000000000e+00
1.091753774680604000e-01,1.000000000000000000e+00
1.688311688311688319e-01,1.000000000000000000e+00
2.652106084243369827e-02,1.000000000000000000e+00
1.614530776992936442e-02,1.000000000000000000e+00
4.000000000000000083e-02,1.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00
8.400000000000000522e-02,2.000000000000000000e+00
2.362204724409448786e-02,2.000000000000000000e+00
6.400000000000000133e-02,2.000000000000000000e+00
7.880434782608695954e-02,2.000000000000000000e+00
6.250000000000000000e-02,2.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00
5.962059620596205783e-02,2.000000000000000000e+00
8.000000000000000167e-03,2.000000000000000000e+00
4.078947368421052544e-01,2.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00
1.996370235934664256e-02,2.000000000000000000e+00
