AU,ex
0.000000000000000000e+00,0.000000000000000000e+00
4.617752693689071430e-02,0.000000000000000000e+00
2.779321845469705492e-03,0.000000000000000000e+00
4.207920792079208189e-02,0.000000000000000000e+00
2.325581395348837177e-02,0.000000000000000000e+00
1.755926251097453955e-02,0.000000000000000000e+00
1.984126984126984017e-02,0.000000000000000000e+00
2.318840579710144956e-01,0.000000000000000000e+00
8.264004437049361773e-02,0.000000000000000000e+00
2.982954545454545581e-02,0.000000000000000000e+00
2.299703264094955513e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
7.606787595084844519e-03,0.000000000000000000e+00
7.168458781362007162e-03,0.000000000000000000e+00
1.981505944517833462e-01,0.000000000000000000e+00
1.742301458670988609e-02,0.000000000000000000e+00
7.423580786026201528e-02,0.000000000000000000e+00
1.269841269841269771e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
8.015513897866839710e-02,0.000000000000000000e+00
1.310000000000000053e-01,0.000000000000000000e+00
8.941176470588235378e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.068702290076335853e-01,0.000000000000000000e+00
1.217975640487190328e-02,0.000000000000000000e+00
2.836021505376344343e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.942902458366375928e-02,0.000000000000000000e+00
3.724029792238337661e-02,0.000000000000000000e+00
1.866088034717916788e-01,0.000000000000000000e+00
1.125078566939032021e-01,0.000000000000000000e+00
4.332840965041851594e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
5.451713395638629195e-02,0.000000000000000000e+00
5.380794701986754691e-02,0.000000000000000000e+00
1.426024955436720060e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
4.752150757886112326e-02,0.000000000000000000e+00
1.355932203389830469e-02,0.000000000000000000e+00
5.659075224292615253e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
3.851540616246498794e-02,0.000000000000000000e+00
1.773952095808383200e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.240971766250820729e-01,0.000000000000000000e+00
7.230255839822025132e-02,0.000000000000000000e+00
1.376087657106026541e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
2.508732931089234508e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.945525291828793801e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
6.351791530944625452e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
7.737656595431098398e-03,0.000000000000000000e+00
5.115089514066496063e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
1.159114857744994731e-01,2.000000000000000000e+00
1.492537313432835792e-02,3.000000000000000000e+00
1.904761904761904656e-01,3.000000000000000000e+00
5.543237250554323980e-02,3.000000000000000000e+00
1.238095238095238138e-01,3.000000000000000000e+00
2.690582959641255739e-02,3.000000000000000000e+00
2.030456852791878014e-02,4.000000000000000000e+00
4.958677685950413361e-02,4.000000000000000000e+00
1.781170483460559756e-02,5.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00
2.521008403361344602e-02,5.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00
4.124860646599776831e-02,5.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00
