AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,label
1.644424934152768358e-01,1.321071115013169317e-01,1.570588235294118340e-01,3.958735733099210535e-02,1.992098331870061773e-02,9.286215978928885617e-02,4.558384547848993995e-02,6.626514486391567038e-01,2.422300263388939001e-01,4.768217734855135226e-01,3.112554872695343366e-01,4.601316944688317312e-01,2.628972783143110337e-01,5.026338893766465338e-02,2.992449517120276403e-01,4.943459174714654458e-01,8.518876207199299611e-02,3.072870939420544248e-02,7.023705004389815820e-02,8.252853380158032826e-01,8.200175592625109644e-01,0.000000000000000000e+00,3.696224758560140433e-01,0.000000000000000000e+00,4.214223002633889215e-02,2.230026338893766336e-01,8.173836698858647498e-01,8.955223880597014408e-02,1.870061457418788486e-01,1.474978050921861294e-01,7.322212467076383291e-01,7.638279192273925156e-02,1.887620719929762880e-01,1.755926251097453955e-02,6.145741878841089016e-03,0.000000000000000000e+00
2.341278708876472769e-01,1.367721911855989125e-01,5.432402234636871663e-01,9.969584109248914860e-02,1.610552451893232928e-01,4.776784605834877295e-01,8.685288640595918708e-02,5.032836747361882912e-01,1.615332091868403874e-01,4.353382991930473400e-01,5.600372439478582542e-01,1.189248913718186085e+00,4.146989447548103946e-01,1.716945996275606179e-01,6.135567970204830468e-01,6.859652389819979046e-01,2.141837368094348937e-01,1.409062693978894998e-01,3.178150217256362486e-01,6.337678460583489048e-01,2.588454376163873416e-01,7.510862818125388363e-02,1.831160769708255753e-01,1.694599627560521293e-01,2.122905027932960875e-01,5.027932960893854997e-02,2.613283674736188722e-01,3.885785226567349260e-01,2.389819987585350691e-01,3.401613904407200240e-01,2.011173184357541999e-01,1.880819366852886365e-01,8.814400993171943310e-02,1.868404717566728712e-01,4.351334574798261801e-01,0.000000000000000000e+00
1.931328847771237311e-01,1.506686291000839395e-01,4.937300252312853410e-01,1.141211101766190505e-01,1.154331370899915610e-01,2.892052144659373880e-01,1.482001682085786753e-01,4.211438183347336328e-01,8.942388561816654036e-02,7.213204373423045546e-01,3.279688814129513852e-01,1.373780487804880046e+00,2.158242220353240037e-01,2.649579478553400480e-01,4.235786375105123347e-01,8.354037005887293699e-01,1.348191757779648448e-01,2.607232968881412760e-01,3.679562657695542582e-01,5.689655172413793371e-01,1.211101766190075674e-01,2.102607232968881426e-02,1.429772918418839404e-02,4.058031959629941343e-01,7.275021026072329977e-02,1.787216148023549334e-01,2.203532380151387859e-01,5.693860386879731061e-01,2.552565180824222235e-01,3.439865433137089812e-01,4.848612279226240385e-01,1.841883936080740136e-01,1.076534903280067235e-01,1.219512195121951262e-02,2.691337258200168225e-01,0.000000000000000000e+00
4.498410596026489183e-01,2.290463576158938142e-01,5.107682119205296800e-01,6.597350993377483486e-02,1.362649006622516923e-01,2.340397350993376480e-01,1.284768211920530590e-01,5.037483443708600239e-01,1.530198675496687866e-01,1.013125827814570057e+00,5.076026490066224417e-01,7.768741721854304227e-01,2.977218543046356580e-01,4.871920529801329058e-01,6.921986754966874544e-01,1.019390728476821106e+00,3.325298013245035489e-01,2.728476821192052926e-01,3.788079470198675303e-01,5.986754966887417595e-01,4.649006622516556053e-01,8.211920529801323976e-02,1.430463576158940431e-01,2.105960264900662293e-01,3.708609271523179152e-02,1.536423841059602613e-01,4.741721854304635775e-01,5.231788079470198749e-01,6.225165562913907019e-02,4.092715231788079389e-01,1.245033112582781404e-01,1.350993377483443725e-01,2.768211920529801140e-01,1.986754966887417095e-01,2.662251655629139235e-01,0.000000000000000000e+00
3.023852040816327746e-01,1.794132653061224492e-01,5.511607142857138930e-01,9.334183673469381715e-02,4.529336734693877042e-02,1.594642857142857251e-01,1.246173469387755334e-01,4.043112244897961727e-01,5.306887755102035475e-01,4.027933673469391018e-01,4.667091836734688637e-01,9.401147959183661085e-01,2.036479591836735381e-01,2.237244897959183854e-01,4.963520408163262787e-01,9.345280612244871721e-01,2.215306122448980897e-01,2.334183673469387710e-01,4.170918367346938549e-01,5.102040816326530726e-01,4.362244897959183798e-01,1.147959183673469448e-02,4.719387755102040505e-02,8.545918367346938549e-02,3.686224489795918435e-01,1.071428571428571369e-01,1.785714285714285754e-01,4.553571428571428492e-01,1.530612244897959218e-01,2.614795918367346927e-01,3.239795918367346927e-01,2.500000000000000000e-01,1.785714285714285754e-01,1.071428571428571369e-01,2.869897959183673741e-01,0.000000000000000000e+00
8.407120743034054988e-02,8.080495356037152577e-02,4.669504643962857360e-01,8.385448916408676234e-02,1.782817337461300444e-01,1.051857585139319429e-01,4.130030959752322567e-02,8.137770897832817540e-02,4.172755417956658386e-01,4.103869969040252474e-01,3.710526315789472451e-01,5.911764705882354143e-01,2.542414860681115329e-01,8.456656346749226449e-02,6.414086687306500556e-01,8.015944272445817420e-01,2.482662538699688670e-01,1.718266253869969173e-01,3.235294117647058987e-01,6.331269349845201067e-01,8.513931888544891413e-02,1.919504643962848256e-01,1.145510835913312736e-01,0.000000000000000000e+00,5.727554179566563680e-02,1.269349845201238336e-01,3.978328173374612864e-01,3.544891640866872917e-01,2.554179566563467563e-01,1.424148606811145579e-01,3.312693498452012331e-01,2.678018575851393024e-01,1.099071207430340619e-01,0.000000000000000000e+00,1.408668730650154688e-01,0.000000000000000000e+00
5.683935519733186448e-01,5.899555308504725870e-01,3.799055030572541236e-01,1.724346859366318319e-01,-1.519622012229016605e-01,-9.515119510839363803e-01,4.648971650917194665e-01,4.617065036131181577e-01,1.239521956642579137e-01,-1.309672040022235306e-01,2.766703724291275091e-01,5.244080044469157098e-01,2.534797109505278478e-01,7.357531962201213638e-01,4.957754307948860628e-01,5.444191217342962963e-01,6.305780989438584117e-01,2.334630350194552562e-01,2.295719844357976547e-01,9.838799332962756550e-01,5.002779321845469279e-03,1.889938854919399544e-02,6.670372429127292661e-03,0.000000000000000000e+00,2.946081156197887657e-02,2.779321845469705492e-03,4.669260700389105123e-02,7.893274041133963026e-02,7.003891050583657685e-02,3.001667593107281914e-02,7.392996108949416445e-02,5.892162312395775314e-02,2.779321845469705232e-02,2.779321845469705492e-03,1.723179544191217466e-02,0.000000000000000000e+00
3.804436860068258763e-01,1.056655290102389011e-01,1.139999999999999458e+00,4.982935153583619575e-02,1.008191126279863598e-01,4.721501706484641514e-01,1.173037542662115768e-01,2.017064846416381507e-01,6.606484641638228350e-01,6.509897610921503430e-01,4.123208191126279121e-01,1.204232081911262853e+00,1.382593856655289777e-01,1.556313993174061605e-01,3.734470989761095039e-01,5.411262798634809412e-01,1.560409556313994694e-01,3.378839590443685759e-01,3.651877133105801976e-01,2.764505119453924964e-01,3.754266211604095349e-01,6.825938566552901092e-03,4.334470989761092241e-01,2.730375426621160437e-02,7.849829351535836386e-02,2.696245733788396048e-01,3.856655290102389277e-01,4.300341296928327783e-01,3.242320819112627928e-01,6.484641638225255300e-02,1.296928327645051060e-01,2.901023890784982795e-01,2.457337883959044289e-01,1.365187713310580218e-02,1.808873720136518759e-01,0.000000000000000000e+00
2.206386292834890683e-01,3.419626168224298435e-01,4.352024922118382100e-01,1.098286604361370516e-01,1.605295950155763429e-01,2.317445482866044570e-01,1.261993769470404203e-01,4.129595015576325023e-01,3.807788161993769793e-01,5.253582554517131076e-01,3.690654205607482585e-01,9.761838006230528775e-01,2.578037383177572139e-01,1.322897196261682284e-01,5.998753894080999238e-01,6.243302180685363911e-01,1.645015576323987927e-01,1.542056074766355034e-01,2.320872274143302161e-01,5.186915887850467310e-01,3.380062305295949976e-01,5.763239875389408046e-02,0.000000000000000000e+00,2.585669781931463906e-01,2.102803738317756965e-01,1.900311526479750712e-01,3.130841121495326895e-01,4.330218068535825471e-01,2.024922118380062253e-01,4.158878504672897103e-01,1.962616822429906482e-01,1.760124610591900229e-01,9.813084112149532412e-02,5.451713395638629195e-02,1.822429906542056000e-01,0.000000000000000000e+00
1.390949554896142859e-01,2.613056379821956932e-01,3.932047477744807784e-01,9.922848664688428688e-02,1.136350148367953200e-01,5.357863501483678403e-01,1.077002967359051155e-01,4.382047477744805963e-01,1.177448071216617986e-01,1.798664688427301650e-01,6.439762611275964277e-01,7.822700296735903835e-01,1.009643916913947614e-01,1.919436201780415907e-01,2.861721068249257205e-01,5.777151335311572211e-01,1.859198813056380795e-01,2.284866468842730036e-01,2.418397626112759602e-01,8.278931750741840290e-01,1.246290801186943631e-01,9.347181008902076538e-02,6.824925816023738601e-02,3.412462908011869300e-02,0.000000000000000000e+00,3.560830860534124759e-02,4.243323442136498480e-01,3.471810089020771484e-01,2.091988130563798287e-01,2.002967359050445151e-01,1.602373887240356176e-01,3.160237388724035368e-01,1.973293768545994198e-01,2.299703264094955513e-01,1.068249258160237358e-01,0.000000000000000000e+00
