AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,label
3.072870939420544248e-02,7.023705004389815820e-02,8.252853380158032826e-01,8.200175592625109644e-01,0.000000000000000000e+00,3.696224758560140433e-01,0.000000000000000000e+00,4.214223002633889215e-02,2.230026338893766336e-01,8.173836698858647498e-01,8.955223880597014408e-02,1.870061457418788486e-01,1.474978050921861294e-01,7.322212467076383291e-01,7.638279192273925156e-02,1.887620719929762880e-01,1.755926251097453955e-02,6.145741878841089016e-03,0.000000000000000000e+00
1.409062693978894998e-01,3.178150217256362486e-01,6.337678460583489048e-01,2.588454376163873416e-01,7.510862818125388363e-02,1.831160769708255753e-01,1.694599627560521293e-01,2.122905027932960875e-01,5.027932960893854997e-02,2.613283674736188722e-01,3.885785226567349260e-01,2.389819987585350691e-01,3.401613904407200240e-01,2.011173184357541999e-01,1.880819366852886365e-01,8.814400993171943310e-02,1.868404717566728712e-01,4.351334574798261801e-01,0.000000000000000000e+00
2.607232968881412760e-01,3.679562657695542582e-01,5.689655172413793371e-01,1.211101766190075674e-01,2.102607232968881426e-02,1.429772918418839404e-02,4.058031959629941343e-01,7.275021026072329977e-02,1.787216148023549334e-01,2.203532380151387859e-01,5.693860386879731061e-01,2.552565180824222235e-01,3.439865433137089812e-01,4.848612279226240385e-01,1.841883936080740136e-01,1.076534903280067235e-01,1.219512195121951262e-02,2.691337258200168225e-01,0.000000000000000000e+00
2.728476821192052926e-01,3.788079470198675303e-01,5.986754966887417595e-01,4.649006622516556053e-01,8.211920529801323976e-02,1.430463576158940431e-01,2.105960264900662293e-01,3.708609271523179152e-02,1.536423841059602613e-01,4.741721854304635775e-01,5.231788079470198749e-01,6.225165562913907019e-02,4.092715231788079389e-01,1.245033112582781404e-01,1.350993377483443725e-01,2.768211920529801140e-01,1.986754966887417095e-01,2.662251655629139235e-01,0.000000000000000000e+00
2.334183673469387710e-01,4.170918367346938549e-01,5.102040816326530726e-01,4.362244897959183798e-01,1.147959183673469448e-02,4.719387755102040505e-02,8.545918367346938549e-02,3.686224489795918435e-01,1.071428571428571369e-01,1.785714285714285754e-01,4.553571428571428492e-01,1.530612244897959218e-01,2.614795918367346927e-01,3.239795918367346927e-01,2.500000000000000000e-01,1.785714285714285754e-01,1.071428571428571369e-01,2.869897959183673741e-01,0.000000000000000000e+00
1.718266253869969173e-01,3.235294117647058987e-01,6.331269349845201067e-01,8.513931888544891413e-02,1.919504643962848256e-01,1.145510835913312736e-01,0.000000000000000000e+00,5.727554179566563680e-02,1.269349845201238336e-01,3.978328173374612864e-01,3.544891640866872917e-01,2.554179566563467563e-01,1.424148606811145579e-01,3.312693498452012331e-01,2.678018575851393024e-01,1.099071207430340619e-01,0.000000000000000000e+00,1.408668730650154688e-01,0.000000000000000000e+00
2.334630350194552562e-01,2.295719844357976547e-01,9.838799332962756550e-01,5.002779321845469279e-03,1.889938854919399544e-02,6.670372429127292661e-03,0.000000000000000000e+00,2.946081156197887657e-02,2.779321845469705492e-03,4.669260700389105123e-02,7.893274041133963026e-02,7.003891050583657685e-02,3.001667593107281914e-02,7.392996108949416445e-02,5.892162312395775314e-02,2.779321845469705232e-02,2.779321845469705492e-03,1.723179544191217466e-02,0.000000000000000000e+00
3.378839590443685759e-01,3.651877133105801976e-01,2.764505119453924964e-01,3.754266211604095349e-01,6.825938566552901092e-03,4.334470989761092241e-01,2.730375426621160437e-02,7.849829351535836386e-02,2.696245733788396048e-01,3.856655290102389277e-01,4.300341296928327783e-01,3.242320819112627928e-01,6.484641638225255300e-02,1.296928327645051060e-01,2.901023890784982795e-01,2.457337883959044289e-01,1.365187713310580218e-02,1.808873720136518759e-01,0.000000000000000000e+00
1.542056074766355034e-01,2.320872274143302161e-01,5.186915887850467310e-01,3.380062305295949976e-01,5.763239875389408046e-02,0.000000000000000000e+00,2.585669781931463906e-01,2.102803738317756965e-01,1.900311526479750712e-01,3.130841121495326895e-01,4.330218068535825471e-01,2.024922118380062253e-01,4.158878504672897103e-01,1.962616822429906482e-01,1.760124610591900229e-01,9.813084112149532412e-02,5.451713395638629195e-02,1.822429906542056000e-01,0.000000000000000000e+00
2.284866468842730036e-01,2.418397626112759602e-01,8.278931750741840290e-01,1.246290801186943631e-01,9.347181008902076538e-02,6.824925816023738601e-02,3.412462908011869300e-02,0.000000000000000000e+00,3.560830860534124759e-02,4.243323442136498480e-01,3.471810089020771484e-01,2.091988130563798287e-01,2.002967359050445151e-01,1.602373887240356176e-01,3.160237388724035368e-01,1.973293768545994198e-01,2.299703264094955513e-01,1.068249258160237358e-01,0.000000000000000000e+00
