VP,BORGI,BORGII,BORGIII,BORGIV,BORGV,AVERAGE,BORGVI,BORGVII,BORGVIII,BORGIX,BORGX,AVERAGE
bf19,15,16,16,16,16,15.8,14,15,15,16,16,15.2
bf18,15,13,13,14,11,13.2,10,14,13,16,11,12.8
bf17,14,16,15,16,16,15.4,15,17,17,18,17,16.8
bf16,16,15,15,14,16,15.2,17,16,16,17,17,16.6
bf15,16,15,17,17,17,16.4,17,15,16,13,12,14.6
bf14,15,16,17,16,17,16.2,16,17,17,17,17,16.8
bf13,15,16,18,15,18,16.4,15,15,17,18,19,16.8
bf12,16,18,17,17,18,17.2,15,18,15,18,16,16.4
bf11,14,14,15,15,15,14.6,17,17,17,17,17,17
bf10,15,12,14,13,15,13.8,14,16,15,15,15,15
bf09,15,16,18,17,19,17,17,18,18,18,19,18
bf07,13,17,18,17,16,16.2,16,18,17,18,19,17.6
bf08,15,17,16,17,14,15.8,14,16,14,16,14,14.8
bf06,17,16,18,17,18,17.2,16,15,17,16,17,16.2
bf05,16,17,17,17,16,16.6,16,17,18,18,17,17.2
bf04,14,15,13,14,14,14,12,11,10,10,12,11
bf03,15,16,17,16,17,16.2,16,19,17,19,20,18.2
bf02,17,17,17,18,15,16.8,14,20,17,19,16,17.2
bf01,14,16,17,17,15,15.8,14,13,16,15,13,14.2
tf20,14,15,16,17,17,15.8,16,17,16,17,17,16.6
tf19,15,14,16,17,17,15.8,15,14,16,17,16,15.6
tf18,15,16,17,17,17,16.4,16,17,16,17,17,16.6
tf17,15,18,20,19,19,18.2,15,17,19,19,20,18
tf16,15,17,17,18,19,17.2,8,15,17,8,19,13.4
tf15,17,15,17,18,19,17.2,16,17,18,17,17,17
tf14,16,14,12,17,13,14.4,11,15,13,16,14,13.8
tf13,16,16,16,17,17,16.4,16,17,16,17,16,16.4
tf12,15,16,15,16,17,15.8,16,12,15,16,17,15.2
tf11,17,17,15,18,16,16.6,14,17,18,18,17,16.8
tf10,14,18,18,19,18,17.4,18,6,18,18,20,16
tf08,16,14,13,13,13,13.8,13,15,14,16,14,14.4
tf07,16,14,11,15,17,14.6,18,18,17,16,17,17.2
tf06,16,17,15,16,16,16,13,16,14,18,15,15.2
tf05,16,17,18,18,19,17.6,18,19,19,19,20,19
tf04,14,15,18,16,19,16.4,17,16,18,18,19,17.6
tf03,13,13,15,13,13,13.4,13,10,13,13,13,12.4
tf02,15,17,17,17,15,16.2,15,15,15,15,17,15.4
tf01,14,17,16,18,16,16.2,13,16,16,18,17,16
