frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.88,1,0.68,0.32,1.02,0.91,0.00,0.00,0.34,0.00,0.00,0.00,0.25,2.45,0.76,0.00,0.86,1.26,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
2,0,0.020,0.88,1,1.10,0.32,1.05,0.95,0.00,0.00,0.39,0.00,0.01,0.10,0.08,2.59,0.80,0.00,0.63,0.97,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
3,0,0.040,0.88,1,1.29,0.30,0.98,0.78,0.00,0.00,0.47,0.00,0.10,0.18,0.00,2.66,0.75,0.00,0.34,0.87,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
4,0,0.060,0.88,1,1.31,0.27,0.93,0.46,0.00,0.00,0.48,0.00,0.19,0.21,0.01,2.72,0.46,0.00,0.19,0.87,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
5,0,0.080,0.88,1,1.25,0.20,0.70,0.32,0.00,0.00,0.58,0.00,0.28,0.24,0.06,2.85,0.24,0.00,0.05,1.02,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
6,0,0.100,0.88,1,1.23,0.27,0.68,0.47,0.00,0.00,0.61,0.00,0.28,0.16,0.06,2.98,0.09,0.00,0.05,1.08,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
7,0,0.120,0.88,1,1.21,0.34,0.54,0.61,0.00,0.00,0.63,0.00,0.30,0.33,0.05,3.07,0.09,0.00,0.02,1.15,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
8,0,0.140,0.88,1,1.19,0.41,0.52,0.56,0.00,0.00,0.55,0.00,0.35,0.41,0.00,3.05,0.05,0.00,0.02,0.98,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
9,0,0.160,0.88,1,1.24,0.42,0.43,0.39,0.00,0.00,0.40,0.00,0.40,0.52,0.00,3.06,0.00,0.00,0.02,0.80,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
10,0,0.180,0.88,1,1.38,0.50,0.43,0.33,0.00,0.00,0.21,0.00,0.34,0.55,0.00,3.03,0.07,0.00,0.03,0.76,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
