frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,1.26,0.18,0.00,0.24,0.00,0.15,0.42,0.00,0.00,1.30,0.76,0.00,1.15,0.64,0.68,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00
2,0,0.020,0.98,1,0.00,0.00,1.31,0.06,0.00,0.24,0.00,0.37,0.57,0.61,0.00,1.40,0.47,0.00,1.39,1.39,0.90,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
3,0,0.040,0.98,1,0.00,0.00,1.30,0.00,0.00,0.21,0.00,0.63,0.72,1.10,0.09,1.48,0.21,0.00,1.63,1.64,0.94,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
4,0,0.060,0.98,1,0.00,0.00,1.36,0.00,0.00,0.15,0.04,0.73,0.76,1.40,0.46,1.56,0.04,0.00,1.80,1.59,1.03,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
5,0,0.080,0.98,1,0.00,0.00,1.36,0.00,0.00,0.34,0.04,0.78,0.80,1.62,0.97,1.58,0.00,0.06,1.66,1.28,0.95,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
6,0,0.100,0.98,1,0.00,0.00,1.46,0.00,0.00,0.42,0.11,0.73,0.74,1.79,1.44,1.61,0.00,0.10,1.55,1.21,1.03,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
7,0,0.120,0.98,1,0.00,0.00,1.47,0.00,0.00,0.47,0.16,0.75,0.64,1.90,1.48,1.63,0.00,0.10,1.71,1.27,0.80,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
8,0,0.140,0.98,1,0.00,0.00,1.59,0.00,0.00,0.43,0.16,0.70,0.59,1.95,1.50,1.73,0.00,0.11,1.87,1.35,0.71,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
9,0,0.160,0.98,1,0.00,0.00,1.54,0.00,0.00,0.35,0.12,0.69,0.52,1.88,1.20,1.78,0.00,0.07,2.21,1.46,0.68,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
10,0,0.180,0.98,1,0.00,0.00,1.48,0.00,0.00,0.19,0.06,0.61,0.54,1.77,0.95,1.80,0.00,0.07,2.18,1.50,0.81,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
11,0,0.200,0.98,1,0.00,0.00,1.30,0.00,0.00,0.10,0.06,0.63,0.55,1.67,0.68,1.79,0.00,0.16,2.32,1.59,0.97,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
12,0,0.220,0.98,1,0.00,0.00,1.34,0.00,0.00,0.12,0.07,0.68,0.60,1.64,0.74,1.78,0.00,0.27,2.20,1.58,1.01,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00
13,0,0.240,0.98,1,0.00,0.00,1.33,0.00,0.00,0.13,0.04,0.77,0.60,1.62,0.98,1.76,0.00,0.43,2.17,1.37,0.91,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00
14,0,0.260,0.98,1,0.00,0.00,1.31,0.00,0.00,0.07,0.04,0.74,0.43,1.51,1.13,1.62,0.00,0.37,2.21,1.36,0.69,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00
15,0,0.280,0.98,1,0.00,0.00,1.12,0.00,0.00,0.01,0.00,0.62,0.29,1.30,1.15,1.59,0.00,0.42,2.14,1.22,0.45,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00
16,0,0.300,0.98,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.58,0.12,1.01,0.97,1.47,0.00,0.28,2.05,1.34,0.55,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00
17,0,0.320,0.98,1,0.00,0.00,1.14,0.00,0.00,0.10,0.00,0.54,0.09,0.93,0.75,1.34,0.23,0.17,1.79,1.15,0.51,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00
18,0,0.340,0.98,1,0.00,0.00,1.26,0.00,0.00,0.14,0.01,0.59,0.11,1.12,0.51,1.17,0.35,0.01,1.81,1.10,0.54,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00
19,0,0.360,0.98,1,0.00,0.00,1.39,0.00,0.00,0.14,0.01,0.56,0.19,1.18,0.41,1.01,0.58,0.00,1.86,0.86,0.27,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00
20,0,0.380,0.98,1,0.18,0.00,1.43,0.00,0.03,0.10,0.01,0.62,0.28,1.30,0.24,0.84,0.61,0.00,1.96,1.05,0.16,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00
