frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.88,1,0.00,0.00,0.21,0.26,0.39,0.00,0.00,0.00,0.86,0.73,0.00,0.00,0.00,0.00,1.96,1.16,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2,0,0.020,0.88,1,0.00,0.00,0.19,0.09,0.33,0.00,0.00,0.76,0.90,0.92,0.00,0.02,0.22,0.00,2.04,1.30,0.07,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
3,0,0.040,0.88,1,0.00,0.00,0.16,0.00,0.35,0.00,0.00,1.17,0.93,0.71,0.00,0.02,0.55,0.00,2.06,1.06,0.30,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
4,0,0.060,0.88,1,0.00,0.00,0.11,0.00,0.40,0.00,0.00,1.16,0.94,0.24,0.00,0.02,0.65,0.00,2.01,0.81,0.53,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
5,0,0.080,0.88,1,0.00,0.00,0.04,0.00,0.38,0.00,0.00,1.02,0.87,0.02,0.00,0.00,0.47,0.00,1.83,0.68,0.55,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
6,0,0.100,0.88,1,0.00,0.00,0.14,0.00,0.32,0.00,0.00,0.92,0.80,0.00,0.00,0.00,0.28,0.00,1.81,0.85,0.40,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
7,0,0.120,0.88,1,0.00,0.00,0.15,0.00,0.27,0.00,0.00,0.82,0.73,0.00,0.00,0.00,0.55,0.04,1.84,0.80,0.22,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
8,0,0.140,0.88,1,0.00,0.00,0.19,0.01,0.27,0.00,0.00,0.84,0.72,0.00,0.00,0.00,0.76,0.04,1.99,1.03,0.20,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
9,0,0.160,0.88,1,0.00,0.00,0.21,0.04,0.35,0.00,0.00,0.81,0.75,0.06,0.00,0.00,0.85,0.05,2.17,1.02,0.12,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
10,0,0.180,0.88,1,0.00,0.00,0.32,0.10,0.43,0.00,0.00,0.86,0.80,0.19,0.00,0.00,0.71,0.04,2.40,1.07,0.07,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
